Temperature_C,Voltage_V,Current_A,Machine_Failure
46.73,221.24,1.56,No
61.93,238.52,2.77,Yes
54.92,231.96,2.13,No
56.9,227.96,2.52,Yes
67.42,214.68,3.32,Yes
52.16,214.68,2.0,No
52.59,211.74,2.32,No
64.69,235.99,3.01,Yes
50.92,228.03,1.96,No
50.84,231.24,1.65,No
53.59,210.62,2.08,No
50.9,239.1,1.82,No
68.54,234.97,3.36,Yes
63.42,216.37,3.12,Yes
60.45,215.45,2.77,Yes
66.82,215.5,3.24,Yes
62.62,219.13,3.11,Yes
50.18,225.74,1.87,No
63.81,222.96,3.29,Yes
56.44,218.74,2.58,Yes
63.87,228.36,3.11,Yes
64.85,214.18,3.29,Yes
53.65,218.76,2.14,No
50.54,220.99,1.72,No
51.95,223.68,1.96,No
59.08,233.56,2.35,Yes
62.56,215.99,3.14,Yes
68.84,225.43,3.22,Yes
48.85,227.77,1.51,No
55.07,211.39,2.52,Yes
54.56,228.23,2.33,No
51.68,215.12,1.94,No
48.26,211.95,1.74,No
56.67,238.47,2.18,Yes
68.46,238.97,3.39,Yes
54.78,234.25,2.15,No
56.02,219.14,2.54,Yes
58.08,212.93,2.91,Yes
54.66,230.53,2.23,No
68.04,223.2,3.44,Yes
65.94,213.66,3.42,Yes
50.65,224.86,2.0,No
56.31,211.03,2.49,Yes
55.32,237.28,2.1,Yes
51.15,217.76,2.07,No
48.96,229.88,1.57,No
59.21,219.35,2.72,Yes
55.9,225.6,2.51,Yes
49.21,226.4,1.6,No
52.97,215.55,2.06,No
68.7,239.09,3.32,Yes
54.7,233.25,1.98,No
49.65,238.18,1.79,No
57.07,236.84,2.48,Yes
68.28,227.94,3.47,Yes
54.38,237.66,1.98,No
60.48,212.65,2.84,Yes
67.6,215.88,3.02,Yes
51.74,211.36,1.98,No
63.24,219.76,2.96,Yes
55.95,221.66,2.24,Yes
60.44,218.14,2.76,Yes
60.68,234.86,2.77,Yes
58.92,220.7,2.57,Yes
47.49,218.43,1.68,No
63.98,226.28,3.17,Yes
52.11,214.23,2.14,No
52.26,234.07,1.87,No
50.51,212.24,1.58,No
57.98,239.61,2.68,Yes
62.9,233.17,2.86,Yes
44.51,215.96,1.53,No
55.55,210.17,2.52,Yes
54.61,234.46,1.95,No
61.12,231.21,2.79,Yes
50.06,231.87,1.85,No
61.06,233.14,2.88,Yes
54.98,212.22,2.27,No
64.71,220.75,3.37,Yes
49.42,213.48,1.78,No
55.48,235.89,2.18,Yes
49.16,228.7,1.73,No
68.7,219.93,3.35,Yes
64.69,211.91,3.25,Yes
49.05,219.33,2.02,No
60.45,219.76,2.82,Yes
63.54,231.89,3.13,Yes
60.3,229.13,2.61,Yes
58.07,236.62,2.56,Yes
52.08,224.17,1.98,No
48.98,213.59,1.69,No
67.38,231.4,3.29,Yes
64.49,232.82,3.3,Yes
59.84,226.84,2.77,Yes
54.38,233.13,2.18,No
53.49,224.81,2.2,No
64.74,225.68,2.95,Yes
65.83,222.83,3.29,Yes
61.93,210.76,3.27,Yes
63.3,213.24,3.06,Yes
