ViewerID,Age,Weekly_Watch_Hours,Movies_Per_Week,Avg_Rating_Given,Weekend_Watch_Hours
V001,27,26.0,11,3.2,10.5
V002,26,20.9,6,4.0,7.9
V003,48,11.4,4,2.8,7.3
V004,50,6.2,3,4.2,4.0
V005,41,23.5,7,4.4,10.9
V006,31,20.7,4,2.6,10.9
V007,30,23.5,4,3.9,6.0
V008,58,5.6,1,4.3,2.2
V009,25,12.1,4,3.6,8.4
V010,30,19.9,6,4.2,6.5
V011,49,4.3,2,4.5,1.5
V012,40,10.1,6,3.0,5.4
V013,26,11.7,7,4.2,7.8
V014,33,26.1,8,2.7,11.3
V015,35,13.6,8,2.8,7.1
V016,44,20.0,4,2.9,5.2
V017,32,39.1,12,3.1,15.6
V018,45,23.9,6,3.0,10.9
V019,50,5.5,1,4.9,1.4
V020,22,29.8,10,3.3,14.8
V021,35,4.1,3,5.0,4.1
V022,36,3.6,1,4.8,3.6
V023,40,4.3,2,3.8,2.3
V024,47,17.9,5,3.9,6.8
V025,57,4.5,1,3.9,2.6
V026,33,23.5,8,4.3,5.5
V027,21,25.3,12,3.2,18.5
V028,59,9.3,3,4.0,3.0
V029,51,8.2,1,4.4,1.6
V030,28,10.1,8,4.4,9.1
V031,31,7.3,3,4.9,2.0
V032,53,6.0,1,4.3,3.5
V033,31,30.8,12,3.4,16.8
V034,33,37.2,15,2.0,10.9
V035,28,18.3,6,3.3,7.5
V036,22,34.6,14,2.6,12.5
V037,55,6.1,1,4.0,3.6
V038,52,2.4,3,3.8,2.4
V039,29,15.1,7,3.3,8.9
V040,31,3.0,3,4.0,1.1
V041,21,25.3,10,2.5,10.8
V042,43,19.8,6,3.4,6.1
V043,33,33.2,15,1.6,13.8
V044,22,27.9,8,2.9,11.0
V045,53,2.5,1,4.8,2.5
V046,40,3.4,2,4.7,3.4
V047,43,15.1,4,3.2,7.6
V048,35,21.7,4,2.7,5.6
V049,37,8.5,1,4.1,3.0
V050,31,25.4,11,1.9,15.8
V051,29,31.9,12,3.5,12.4
V052,58,9.5,2,4.3,4.7
V053,22,26.5,9,3.2,19.6
V054,47,20.4,8,3.0,7.1
V055,48,6.7,2,3.7,4.5
V056,46,23.3,6,2.9,9.3
V057,24,30.8,8,2.6,15.0
V058,50,9.6,1,3.5,3.2
V059,51,7.5,1,4.0,1.1
V060,47,22.3,6,2.9,9.7
V061,18,26.1,15,2.3,16.8
V062,41,3.5,1,3.9,1.3
V063,34,33.6,9,1.7,12.4
V064,36,23.2,6,4.4,11.5
V065,22,33.8,9,3.4,18.7
V066,37,4.9,3,4.8,1.3
V067,29,15.8,7,2.6,6.3
V068,55,9.8,3,3.6,2.2
V069,44,15.2,8,3.4,7.1
V070,41,2.3,1,4.6,2.3
V071,25,12.4,7,2.6,6.4
V072,40,11.3,7,3.9,9.4
V073,58,6.9,3,4.8,4.5
V074,36,5.5,2,4.7,2.4
V075,22,34.6,10,3.4,17.4
V076,21,39.4,12,2.9,13.9
V077,27,20.4,8,3.8,7.3
V078,32,2.8,1,3.7,2.7
V079,30,23.5,7,3.0,6.8
V080,40,6.9,1,4.1,1.5
V081,19,26.4,8,2.4,13.5
V082,27,11.5,7,2.7,11.2
V083,30,37.7,8,1.8,14.9
V084,27,35.2,15,1.9,19.6
V085,44,13.4,7,4.0,11.9
V086,25,24.1,6,3.1,6.9
V087,48,19.5,8,2.6,10.0
V088,40,19.6,4,3.4,5.0
V089,53,4.4,3,3.8,3.1
V090,30,6.4,3,4.0,1.9
V091,43,12.4,8,3.8,8.1
V092,46,12.6,4,4.2,5.5
V093,44,3.1,3,4.7,3.1
V094,50,13.9,8,3.4,5.5
V095,18,38.6,12,3.4,13.0
V096,50,18.2,4,3.5,9.7
V097,33,9.7,1,4.3,4.1
V098,33,39.1,11,3.0,15.3
V099,30,19.1,8,3.4,7.8
V100,50,8.3,2,4.7,2.3
